producer_stage,output_key,declared_path,resolved_path,exists,declared_sha256,sha256,checksum_matches_manifest,checksum_declared,size_bytes
07_tool_execution,formal_evidence_classification,iterations/iteration_00/tool_outputs/06_formal_evidence_classification.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_formal_evidence_classification.json,True,7e977dde733817a18419d4864d97df5aded4b67175404badc58fe53b569232b5,7e977dde733817a18419d4864d97df5aded4b67175404badc58fe53b569232b5,True,True,526
07_tool_execution,cbmc_trace_summary,iterations/iteration_00/tool_outputs/06_cbmc_trace_summary.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_cbmc_trace_summary.json,True,96b112bfe2b1b103d56352e910942abfe1c25622c2006e509229a8c83bb63582,96b112bfe2b1b103d56352e910942abfe1c25622c2006e509229a8c83bb63582,True,True,1062
07_tool_execution,failed_property_mapping,iterations/iteration_00/tool_outputs/06_failed_property_mapping.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_failed_property_mapping.json,True,8cc120cb487207550b633742ca7880a34c99394ef04d01de0fe7831efd2cf2ea,8cc120cb487207550b633742ca7880a34c99394ef04d01de0fe7831efd2cf2ea,True,True,251
07_tool_execution,tool_command_manifest,iterations/iteration_00/tool_inputs/06_tool_command_manifest.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_inputs/06_tool_command_manifest.json,True,f555fd00cd091f43d27e7fc0181641373e8411b174b2e94f709880ff7d3a51d1,f555fd00cd091f43d27e7fc0181641373e8411b174b2e94f709880ff7d3a51d1,True,True,12074
07_tool_execution,tool_environment_snapshot,iterations/iteration_00/tool_inputs/06_tool_environment_snapshot.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_inputs/06_tool_environment_snapshot.json,True,b216ec5fd9d5644acc8801b98aee62e4be2ad9d418eea5e4450fe8f245ace3f5,b216ec5fd9d5644acc8801b98aee62e4be2ad9d418eea5e4450fe8f245ace3f5,True,True,1834
07_tool_execution,tool_execution_traceability,iterations/iteration_00/tool_outputs/06_tool_execution_traceability.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_tool_execution_traceability.json,True,123dae44b62883ac14d4c710118eab27f045cd2180d004388e247d1f50d240a9,123dae44b62883ac14d4c710118eab27f045cd2180d004388e247d1f50d240a9,True,True,2500
07_tool_execution,tool_execution_markdown,iterations/iteration_00/tool_outputs/06_tool_execution.md,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_tool_execution.md,True,7970f1f5d7ba96c35126429a77dd84d487b48c1b93bd4d81d9d25e7cf91bd36f,7970f1f5d7ba96c35126429a77dd84d487b48c1b93bd4d81d9d25e7cf91bd36f,True,True,777
07_tool_execution,cbmc_diagnostics,iterations/iteration_00/diagnostics/06_cbmc_diagnostics.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/diagnostics/06_cbmc_diagnostics.json,True,da9c93cbc61e600ceef53a355aebf78707158bc3f0f29cd5a0e2cff76fd4dea1,da9c93cbc61e600ceef53a355aebf78707158bc3f0f29cd5a0e2cff76fd4dea1,True,True,589
08_counterexample_analysis,counterexample_analysis,iterations/iteration_00/llm_authoritative/07_counterexample_analysis.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/08_counterexample_analysis/iterations/iteration_00/llm_authoritative/07_counterexample_analysis.json,True,dca753548e3970a08a9c7a5b96633edc09166bab0c13b960beba81d6eff36e6b,dca753548e3970a08a9c7a5b96633edc09166bab0c13b960beba81d6eff36e6b,True,True,29551
08_counterexample_analysis,counterexample_analysis_validation,iterations/iteration_00/validation/llm_call_validation.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/08_counterexample_analysis/iterations/iteration_00/validation/llm_call_validation.json,True,3652afaddb5fbfab62177acfdb0689d101295457dda9a6be40b96a42bd1a5831,3652afaddb5fbfab62177acfdb0689d101295457dda9a6be40b96a42bd1a5831,True,True,2245
08_counterexample_analysis,repair_guidance,iterations/iteration_00/llm_authoritative/07_repair_guidance.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/08_counterexample_analysis/iterations/iteration_00/llm_authoritative/07_repair_guidance.json,True,e1f7f0d3693865768117fce0a8cc5e843fc08532cffc4f2b8646a29b7fba87f4,e1f7f0d3693865768117fce0a8cc5e843fc08532cffc4f2b8646a29b7fba87f4,True,True,5723
08_counterexample_analysis,repair_action_plan,iterations/iteration_00/llm_authoritative/07_repair_action_plan.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/08_counterexample_analysis/iterations/iteration_00/llm_authoritative/07_repair_action_plan.json,True,b0e13ff2edf41efab47bb5b6b5734de9089bca514cd7cc26e0efc90aa5e18411,b0e13ff2edf41efab47bb5b6b5734de9089bca514cd7cc26e0efc90aa5e18411,True,True,5075
08_counterexample_analysis,repair_action_plan_csv,iterations/iteration_00/validation/07_repair_action_plan.llm_summary.csv,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/08_counterexample_analysis/iterations/iteration_00/validation/07_repair_action_plan.llm_summary.csv,True,fa7b1879890fbea95209b384602fbfe4718b703901a008f5198c159b760d6111,fa7b1879890fbea95209b384602fbfe4718b703901a008f5198c159b760d6111,True,True,992
08_counterexample_analysis,deterministic_counterexample_diagnostics,iterations/iteration_00/deterministic_reference/07_counterexample_analysis.deterministic.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/08_counterexample_analysis/iterations/iteration_00/deterministic_reference/07_counterexample_analysis.deterministic.json,True,872d5114805caebd02df33bdb1eed45def28dfcc963ff5eaa4de70dde1183de1,872d5114805caebd02df33bdb1eed45def28dfcc963ff5eaa4de70dde1183de1,True,True,4948
08_counterexample_analysis,failure_classification_matrix,iterations/iteration_00/deterministic_reference/07_failure_classification_matrix.deterministic.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/08_counterexample_analysis/iterations/iteration_00/deterministic_reference/07_failure_classification_matrix.deterministic.json,True,313034fc94b3f674aac3e975e980d48f7b6959e97df6543c61f466f04d3a6ebf,313034fc94b3f674aac3e975e980d48f7b6959e97df6543c61f466f04d3a6ebf,True,True,1009
08_counterexample_analysis,tool_vs_harness_vs_code_diagnosis,iterations/iteration_00/deterministic_reference/07_tool_vs_harness_vs_code_diagnosis.deterministic.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/08_counterexample_analysis/iterations/iteration_00/deterministic_reference/07_tool_vs_harness_vs_code_diagnosis.deterministic.json,True,87db2c5fe156cf794f534d1ad28e707aa771471b46b65e58ab703c1e84d1dc35,87db2c5fe156cf794f534d1ad28e707aa771471b46b65e58ab703c1e84d1dc35,True,True,1425
