entry_type	archive_path	uncompressed_size	compressed_size	crc32	unix_mode
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/all.yml	2565	560	efc57ab3	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/baremetal.yml	2803	834	fd2b6614	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/base.yml	10952	1899	2220f05a	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/bench.yml	7516	1717	807c6325	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/bench_ec2_any.yml	2108	740	07b4e0ce	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/bench_ec2_reusable.yml	9762	2258	18376d91	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/cbmc.yml	1958	498	ab41aec8	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/ci.yml	28656	4828	66da6779	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/ci_ec2_any.yml	2210	755	0e91c489	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/ci_ec2_container.yml	9063	2290	239cd5ab	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/ci_ec2_reusable.yml	10567	2463	bd7e5aea	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/ct-tests.yml	3387	920	88c45bb6	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/hol_light.yml	11324	1805	f5cb3283	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/integration-awslc-main.yml	453	295	19fe4017	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/integration-awslc.yml	6257	1280	5fa01e4b	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/integration-liboqs.yml	3842	1340	4bcccc75	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/integration-pavona.yml	5370	1820	bfa2b631	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/legacy-compilers.yml	20877	2474	dda242fb	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/lint_markdown.yml	542	359	e647fc2e	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/nix.yml	5178	1706	eb65efc0	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/riscv.yml	794	453	a6292e5f	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/scorecard.yaml	2308	1075	84fb093e	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/slothy.yml	687	412	1239f771	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/wycheproof-updates.yml	667	419	9a89ba7f	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/workflows/zephyr.yml	2095	885	115496d3	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.gitignore	217	148	30d79c82	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/BIBLIOGRAPHY.md	27490	4256	431baaa5	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/BIBLIOGRAPHY.yml	6725	2511	bf5288fa	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/BUILDING.md	3638	1449	dbc22081	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/CODEOWNERS	135	121	9508bb6f	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/CONTRIBUTING.md	1429	780	c61618a1	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/	0	0	00000000	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/meta.h	4223	1047	65131325	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/README.md	1227	674	8216b113	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/aarch64_zetas.c	11373	3270	e092e357	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/arith_native_aarch64.h	8582	1349	d0c010a4	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/intt_aarch64_asm.S	11050	3063	b1930823	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/ntt_aarch64_asm.S	9576	2803	06997180	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/polyvec_basemul_acc_montgomery_cached_k2_aarch64_asm.S	6808	1985	a64526ff	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/polyvec_basemul_acc_montgomery_cached_k3_aarch64_asm.S	7019	2027	db6d0850	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/polyvec_basemul_acc_montgomery_cached_k4_aarch64_asm.S	7396	2096	5783205f	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/poly_mulcache_compute_aarch64_asm.S	3704	1224	c135aff8	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/poly_reduce_aarch64_asm.S	2749	1006	ff6c330d	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/poly_tobytes_aarch64_asm.S	2319	927	6c1486f0	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/poly_tomont_aarch64_asm.S	2617	973	cf8c1b20	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/rej_uniform_aarch64_asm.S	13954	3557	d001e087	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_clean/src/rej_uniform_table.c	27620	2036	d1ec7ead	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/meta.h	4217	1048	8adb5885	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/README.md	1213	665	c328882c	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/aarch64_zetas.c	11373	3270	e092e357	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/arith_native_aarch64.h	8576	1343	1f6cb727	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/intt_aarch64_asm.S	181008	14370	205dd240	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/Makefile	4728	1229	9e2a551a	0
